id,round,opponent_team,was_home,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,yellow_cards,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,value,selected,transfers_in,transfers_out
166,4,18,True,45,0,0,0,0,0,0,0,1,0.00,0.04,0.04,0.39,0,65,143354,47223,18366
166,5,19,False,87,6,1,0,0,1,1,31,1,0.44,0.02,0.46,1.13,4,65,125508,18834,36139
596,1,5,False,8,1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.14,2,45,7884,0,0
596,2,1,True,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,10673,856,1099
596,3,11,False,15,1,0,0,0,0,0,3,0,0.00,0.01,0.01,0.35,1,45,10240,736,1726
596,4,18,True,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,9485,272,1265
596,5,19,False,90,3,0,0,0,2,0,11,0,0.03,0.01,0.04,1.56,13,45,9272,779,1174
597,1,5,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,50,61739,0,0
597,2,1,True,90,2,0,0,0,1,0,8,0,0.00,0.00,0.00,1.04,0,50,82325,4229,6771
597,3,11,False,90,10,0,0,1,0,3,38,0,0.00,0.00,0.00,0.57,0,50,144003,33094,11274
597,4,18,True,90,2,0,0,0,2,0,17,0,0.00,0.01,0.01,2.28,0,50,206678,83655,19004
597,5,19,False,90,2,0,0,0,2,0,17,0,0.00,0.00,0.00,1.56,0,50,196011,16586,18810
611,2,1,True,12,1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,2,45,4588,1549,166
611,3,11,False,5,1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.35,1,45,15829,6633,1621
611,4,18,True,90,3,0,0,0,2,0,11,0,0.00,0.06,0.06,2.28,12,45,19667,4076,2234
611,5,19,False,45,1,0,0,0,0,0,6,0,0.00,0.01,0.01,0.64,6,45,23660,4595,2312
631,3,11,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,60,4421,4056,630
631,4,18,True,27,1,0,0,0,1,0,6,0,0.02,0.13,0.15,0.86,2,60,5917,2787,1580
631,5,19,False,6,1,0,0,0,2,0,2,0,0.00,0.00,0.00,0.78,0,60,7570,2665,1471
57,1,15,False,90,2,0,0,0,2,0,13,0,0.00,0.00,0.00,2.25,0,45,288326,0,0
57,2,9,True,90,3,0,0,0,1,0,20,0,0.00,0.00,0.00,1.84,0,45,332768,25378,14053
57,3,17,False,90,1,0,0,0,2,0,0,0,0.00,0.00,0.00,0.71,0,45,349425,45982,34952
57,4,4,True,90,1,0,0,0,2,0,0,0,0.00,0.00,0.00,0.50,0,45,346097,27504,37126
57,5,14,True,90,2,0,0,0,1,0,12,0,0.00,0.00,0.00,1.65,0,45,325591,7119,26540
60,1,15,False,90,1,0,0,0,2,0,0,0,0.00,0.00,0.00,2.25,6,55,72436,0,0
60,2,9,True,90,4,0,0,0,1,0,19,0,0.00,0.74,0.74,1.84,12,55,89428,9153,6741
60,3,17,False,90,1,0,0,0,2,0,4,0,0.00,0.02,0.02,0.71,6,55,87381,7094,11668
60,4,4,True,90,2,0,0,0,2,0,5,1,0.00,0.01,0.01,0.50,11,55,89044,8173,10555
60,5,14,True,90,4,0,0,0,1,0,15,0,0.00,0.02,0.02,1.65,15,55,80776,3321,11630
61,1,15,False,90,1,0,0,0,2,0,0,0,0.00,0.00,0.00,2.25,7,55,392050,0,0
61,2,9,True,90,4,0,0,0,1,2,27,0,0.00,0.07,0.07,1.84,9,55,417325,20601,25821
61,3,17,False,90,0,0,0,0,2,0,-3,1,0.01,0.06,0.07,0.71,6,55,387734,11879,42084
61,4,4,True,90,3,0,0,0,2,0,23,0,0.08,0.10,0.18,0.50,16,55,362027,12869,45880
61,5,14,True,90,2,0,0,0,1,0,6,0,0.02,0.06,0.08,1.65,7,55,334232,6520,34498
64,1,15,False,90,1,0,0,0,2,0,4,0,0.00,0.00,0.00,2.25,5,45,8561,0,0
64,2,9,True,90,1,0,0,0,1,0,5,1,0.00,0.02,0.02,1.84,6,45,13789,2845,1018
64,3,17,False,90,0,0,0,0,2,0,3,1,0.01,0.04,0.05,0.71,4,45,13869,1630,2091
64,4,4,True,90,0,0,0,0,2,0,-1,1,0.00,0.01,0.01,0.50,6,45,14155,1505,1738
64,5,14,True,74,2,0,0,0,1,0,3,0,0.00,0.02,0.02,1.40,0,45,13093,818,1981
67,1,15,False,88,2,0,0,0,1,0,9,0,0.04,0.03,0.07,2.06,1,65,242374,0,0
67,2,9,True,90,2,0,0,0,1,0,4,0,0.40,0.02,0.42,1.84,5,65,276541,23680,22179
67,3,17,False,88,2,0,0,0,2,0,8,0,0.04,0.01,0.05,0.66,2,65,230133,11708,60024
67,4,4,True,81,2,0,0,0,2,0,7,0,0.39,0.02,0.41,0.39,3,64,202880,8549,41933
67,5,14,True,87,2,0,0,0,1,0,17,0,0.00,0.35,0.35,1.40,4,64,173374,4733,35360
68,1,15,False,90,10,1,0,0,2,3,32,0,0.40,0.08,0.48,2.25,8,60,139421,0,0
68,2,9,True,90,1,0,0,0,1,0,20,1,0.09,0.21,0.30,1.84,11,60,254437,87207,12431
68,3,17,False,88,10,1,0,0,2,3,43,0,1.01,0.05,1.06,0.66,9,60,230783,28263,49848
68,4,4,True,82,8,1,0,0,2,2,44,1,0.20,0.47,0.67,0.39,8,60,417515,177420,51460
68,5,14,True,74,2,0,0,0,1,0,14,0,0.00,0.11,0.11,1.40,6,61,709800,318303,60985
69,1,15,False,90,2,0,0,0,2,0,17,0,0.00,0.01,0.01,2.25,11,60,134668,0,0
69,2,9,True,86,12,1,0,1,0,3,39,1,0.26,0.27,0.53,1.71,15,60,145926,8520,12886
69,3,17,False,90,10,0,2,0,2,2,37,0,0.07,0.02,0.09,0.71,11,60,210299,56885,17771
69,4,4,True,90,4,0,0,0,2,0,19,0,0.19,0.05,0.24,0.50,15,61,657646,386435,62399
69,5,14,True,90,2,0,0,0,1,0,17,0,0.12,0.07,0.19,1.65,8,61,624564,72063,77120
70,1,15,False,74,3,0,0,1,0,0,15,0,0.11,0.00,0.11,1.94,9,60,96045,0,0
70,2,9,True,80,3,0,0,1,0,0,12,0,0.61,0.05,0.66,1.67,5,60,123176,16321,9590
70,3,17,False,75,1,0,0,0,1,0,6,1,0.06,0.01,0.07,0.48,4,60,113173,10830,23522
70,4,4,True,65,8,1,0,0,2,1,31,0,0.21,0.02,0.23,0.39,4,60,104989,8665,20691
70,5,14,True,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,60,110738,14541,11079
71,1,15,False,75,3,0,0,1,0,0,8,0,0.00,0.00,0.00,1.94,7,50,13065,0,0
71,2,9,True,68,3,0,0,1,0,0,13,0,0.00,0.01,0.01,1.67,2,50,18237,3259,1707
71,3,17,False,14,1,0,0,0,1,0,2,0,0.00,0.00,0.00,0.23,1,50,23118,6600,3843
71,4,4,True,8,0,0,0,0,0,0,-1,1,0.00,0.00,0.00,0.11,2,50,21878,2134,3492
71,5,14,True,15,1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.25,2,50,19112,841,3739
72,1,15,False,1,1,0,0,0,1,0,3,0,0.00,0.00,0.00,0.19,1,50,7889,0,0
