id,web_name,team,pos,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,yellow_cards,red_cards,saves,defensive_contribution,expected_goals,expected_assists,expected_goals_conceded
368,Szoboszlai,LIV,MID,80,2,0,0,1,0,0,5,1,0,0,6,0.13,0.02,0.66
369,Ngumoha,LIV,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
370,Chiesa,LIV,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
371,Gravenberch,LIV,MID,9,1,0,0,0,0,0,3,0,0,0,1,0.00,0.01,0.14
372,Mac Allister,LIV,MID,90,5,0,0,1,0,0,19,0,0,0,13,0.00,0.05,0.79
373,C.Jones,LIV,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
374,Endo,LIV,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
375,Nyoni,LIV,MID,19,1,0,0,0,0,0,3,0,0,0,5,0.00,0.00,0.14
376,Bajcetic,LIV,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
377,Munoz,LIV,MID,18,1,0,0,0,0,0,7,0,0,0,3,0.00,0.06,0.14
378,McConnell,LIV,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
379,Isak,LIV,FWD,80,8,1,0,1,0,3,31,1,0,0,1,0.75,0.02,0.66
380,Ekitiké,LIV,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
381,Koumas,LIV,MID,9,1,0,0,0,0,0,7,0,0,0,0,0.25,0.00,0.14
382,Danns,LIV,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
383,Elliott,LIV,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
384,Donnarumma,MCI,GK,90,2,0,0,0,3,0,9,0,0,4,0,0.00,0.00,3.57
385,Trafford,LEE,GK,90,10,0,0,1,0,3,34,0,0,5,0,0.00,0.00,1.06
386,Bettinelli,MCI,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
387,O'Reilly,MCI,DEF,5,1,0,0,0,0,0,3,0,0,0,2,0.78,0.00,0.39
388,Guéhi,MCI,DEF,90,4,0,1,0,3,0,13,0,0,0,4,0.06,0.01,3.57
389,Matheus N.,MCI,DEF,90,1,0,0,0,3,0,0,0,0,0,9,0.00,0.01,3.57
390,Rúben,MCI,DEF,90,1,0,0,0,3,0,-7,0,0,0,4,0.20,0.00,3.57
